Training on: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']
Validation on: ['S15', 'S16', 'S17']
Loading Subjects: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']...
Finished loading. Total segments: 52772
Loading Subjects: ['S15', 'S16', 'S17']...
Finished loading. Total segments: 6721
Total Train Samples: 52772
Total Val Samples: 6721
Using device: cuda
Epoch [1/100] | Loss: 0.4375 | Train Acc: 81.89% | Val Acc: 92.61% | Time: 45.8s
--> Saved New Best Model (Acc: 92.61%)
Epoch [2/100] | Loss: 0.2525 | Train Acc: 90.69% | Val Acc: 91.28% | Time: 44.1s
Epoch [3/100] | Loss: 0.1978 | Train Acc: 92.97% | Val Acc: 94.23% | Time: 43.6s
--> Saved New Best Model (Acc: 94.23%)
Epoch [4/100] | Loss: 0.1586 | Train Acc: 94.58% | Val Acc: 93.39% | Time: 43.9s
Epoch [5/100] | Loss: 0.1311 | Train Acc: 95.65% | Val Acc: 95.49% | Time: 43.6s
--> Saved New Best Model (Acc: 95.49%)
Epoch [6/100] | Loss: 0.1141 | Train Acc: 96.31% | Val Acc: 97.01% | Time: 43.8s
--> Saved New Best Model (Acc: 97.01%)
Epoch [7/100] | Loss: 0.1018 | Train Acc: 96.65% | Val Acc: 95.73% | Time: 43.9s
Epoch [8/100] | Loss: 0.0928 | Train Acc: 97.04% | Val Acc: 94.45% | Time: 43.3s
Epoch [9/100] | Loss: 0.0894 | Train Acc: 97.15% | Val Acc: 96.93% | Time: 44.4s
Epoch [10/100] | Loss: 0.0810 | Train Acc: 97.35% | Val Acc: 96.35% | Time: 43.4s
Epoch [11/100] | Loss: 0.0755 | Train Acc: 97.54% | Val Acc: 93.63% | Time: 43.6s
Epoch [12/100] | Loss: 0.0716 | Train Acc: 97.69% | Val Acc: 94.38% | Time: 43.3s
Epoch [13/100] | Loss: 0.0712 | Train Acc: 97.66% | Val Acc: 93.26% | Time: 43.5s
Epoch [14/100] | Loss: 0.0678 | Train Acc: 97.81% | Val Acc: 90.06% | Time: 43.6s
Epoch [15/100] | Loss: 0.0692 | Train Acc: 97.81% | Val Acc: 89.91% | Time: 44.7s
Epoch [16/100] | Loss: 0.0636 | Train Acc: 97.94% | Val Acc: 93.59% | Time: 44.2s
Epoch [17/100] | Loss: 0.0628 | Train Acc: 97.95% | Val Acc: 95.21% | Time: 45.0s
Epoch [18/100] | Loss: 0.0597 | Train Acc: 98.12% | Val Acc: 92.71% | Time: 72.7s
Epoch [19/100] | Loss: 0.0554 | Train Acc: 98.28% | Val Acc: 90.82% | Time: 74.6s
